АВС/ DEF;От;До;Емкость;Оператор;Регион
812;5137424;5137424;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5137425;5138063;639;Ростелеком;Санкт - Петербург
812;5138064;5138064;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5138065;5166999;28935;Ростелеком;Санкт - Петербург
812;5168000;5168999;1000;Ростелеком;Санкт - Петербург
812;5170000;5179999;10000;Ростелеком;Санкт - Петербург
812;5190000;5192999;3000;Квантум;Санкт - Петербург
812;5193000;5193999;1000;Прайм-Медиа;Санкт - Петербург
812;5194000;5199999;6000;Квантум;Санкт - Петербург
812;5200000;5217968;17969;Ростелеком;Санкт - Петербург
812;5217969;5217969;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5217970;5219999;2030;Ростелеком;Санкт - Петербург
812;5240000;5312160;72161;Ростелеком;Санкт - Петербург
812;5312161;5312161;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5312162;5323093;10932;Ростелеком;Санкт - Петербург
812;5323094;5323094;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5323095;5359999;36905;Ростелеком;Санкт - Петербург
812;5361000;5362399;1400;Ростелеком;Санкт - Петербург
812;5363000;5363999;1000;Ростелеком;Санкт - Петербург
812;5369200;5369999;800;Ростелеком;Санкт - Петербург
812;5390000;5399999;10000;Мобильные ТелеСистемы;Санкт - Петербург
812;5400000;5409699;9700;Ростелеком;Санкт - Петербург
812;5409800;5413999;4200;Ростелеком;Санкт - Петербург
812;5417000;5417999;1000;Петросвязь;Санкт - Петербург
812;5418000;5419099;1100;Ростелеком;Санкт - Петербург
812;5419100;5419499;400;Петросвязь;Санкт - Петербург
812;5419500;5422592;3093;Ростелеком;Санкт - Петербург
812;5422593;5422593;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5422594;5422887;294;Ростелеком;Санкт - Петербург
812;5422888;5422888;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5422889;5423643;755;Ростелеком;Санкт - Петербург
812;5423644;5423644;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5423645;5423930;286;Ростелеком;Санкт - Петербург
812;5423931;5423931;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5423932;5428982;5051;Ростелеком;Санкт - Петербург
812;5428983;5428983;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5428984;5431869;2886;Ростелеком;Санкт - Петербург
812;5431870;5431870;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5431871;5438829;6959;Ростелеком;Санкт - Петербург
812;5438830;5438830;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5438831;5454999;16169;Ростелеком;Санкт - Петербург
812;5500000;5501918;1919;Ростелеком;Санкт - Петербург
812;5501919;5501919;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5501920;5509999;8080;Ростелеком;Санкт - Петербург
812;5510000;5514999;5000;Вымпел-Коммуникации;Санкт - Петербург
812;5515000;5516999;2000;Метроком;Санкт - Петербург
812;5517000;5519999;3000;Вымпел-Коммуникации;Санкт - Петербург
812;5520000;5544999;25000;Ростелеком;Санкт - Петербург
812;5545400;5545599;200;Классик Транзит Телеком;Санкт - Петербург
812;5549000;5557236;8237;Ростелеком;Санкт - Петербург
812;5557237;5557237;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5557238;5578791;21554;Ростелеком;Санкт - Петербург
812;5578792;5578792;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5578793;5588320;9528;Ростелеком;Санкт - Петербург
812;5588321;5588321;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5588322;5590187;1866;Ростелеком;Санкт - Петербург
812;5590188;5590188;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5590189;5595169;4981;Ростелеком;Санкт - Петербург
812;5595170;5595170;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5595171;5595594;424;Ростелеком;Санкт - Петербург
812;5595595;5595595;1;Санкт-Петербургские Таксофоны;Санкт - Петербург
812;5595596;5609999;14404;Ростелеком;Санкт - Петербург
812;5670000;5681999;12000;Ростелеком;Санкт - Петербург
812;5684000;5684999;1000;Ростелеком;Санкт - Петербург
812;5689000;5689999;1000;Классик Транзит Телеком;Санкт - Петербург
812;5690000;5699999;10000;ВЕСТ КОЛЛ ЛТД;Санкт - Петербург
812;5700000;5708027;8028;Ростелеком;Санкт - Петербург
