79010940000;79010949999;Астарта;Astarta;
79011000000;79011019999;Астарта;Astarta;
79011020000;79011029999;Краснодарская сот связь;Krasnodarskaya sot svyaz;
79011030000;79011059999;Астарта;Astarta;
79011060000;79011069999;Астарта;Astarta;
79011070000;79011079999;Астарта;Astarta;
79011080000;79011089999;Мобильная сот.связь;Mobilnaya sot.svyaz;
79011110000;79011119999;Енисейтелеком;Eniseitelekom;
79011160000;79011169999;Кузбаск.сот. связь;Kuzbask.sot. svyaz;
79011210000;79011219999;Калужская сотовая связь;Kaluzhskaya sotovaya svyaz;
79011220000;79011229999;Калужская сотовая связь;Kaluzhskaya sotovaya svyaz;
79011230000;79011239999;Калужская сотовая связь;Kaluzhskaya sotovaya svyaz;
79011240000;79011249999;Северо-вост. Телеком;Severo-vost. Telekom;
79011250000;79011259999;Калужская сотовая связь;Kaluzhskaya sotovaya svyaz;
79011260000;79011269999;Калужская сотовая связь;Kaluzhskaya sotovaya svyaz;
79011270000;79011279999;Астарта;Astarta;
79011280000;79011289999;Калужская сотовая связь;Kaluzhskaya sotovaya svyaz;
79011290000;79011299999;Кузбаск.сот. связь;Kuzbask.sot. svyaz;
79011300000;79011309999;Астарта;Astarta;
79011310000;79011314999;Астарта;Astarta;
79011315000;79011315099;Скай Линк;Skai Link;
79011315100;79011315199;Скай Линк;Skai Link;
79011315200;79011315299;Астарта;Astarta;
79011315300;79011315399;Астарта;Astarta;
79011315400;79011315499;Скай Линк;Skai Link;
79011315500;79011315599;Астарта;Astarta;
79011315600;79011315699;РТ-Мобайл;RT-Mobail;
79011315700;79011315799;Скай Линк;Skai Link;
79011315800;79011315899;Астарта;Astarta;
79011315900;79011315999;Астарта;Astarta;
79011316000;79011316099;Астарта;Astarta;
79011316100;79011316199;Астарта;Astarta;
79011316200;79011316299;Астарта;Astarta;
79011316300;79011316399;Астарта;Astarta;
79011340000;79011349999;Астарта;Astarta;
79011380000;79011389999;Астарта;Astarta;
79011390000;79011399999;Арктик Регион Связь;Arktik Region Svyaz;
79011420000;79011429999;Калужская сотовая связь;Kaluzhskaya sotovaya svyaz;
79011430000;79011439999;Калужская сотовая связь;Kaluzhskaya sotovaya svyaz;
79011440000;79011449999;Астарта;Astarta;
79011450000;79011459999;Астарта;Astarta;
79011460000;79011469999;Калужская сотовая связь;Kaluzhskaya sotovaya svyaz;
79011470000;79011474999;Астарта;Astarta;
79011480000;79011489999;Калужская сотовая связь;Kaluzhskaya sotovaya svyaz;
79011490000;79011499999;Уралвестком;Uralvestkom;
79011500000;79011509999;Уралвестком;Uralvestkom;
79011520000;79011529999;Сотовая связь Башкортостана;Sotovaya svyaz Bashkortostana;
79011530000;79011539999;МТТ Инвест;MTT Invest;
79011560000;79011569999;Астарта;Astarta;
79011570000;79011579999;Удмурт.сот.сети-450;Udmurt.sot.seti-450;
79011580000;79011589999;АПЕКС;APEKS;
79011600000;79011609999;Регион. технич.центр;Region. tekhnich.tsentr;
79011610000;79011619999;Астарта;Astarta;
79011800000;79011899999;Московская сотовая связь;Moskovskaya sotovaya svyaz;
79011900000;79011909999;Астарта;Astarta;
79011910000;79011919999;РТ-Мобайл;RT-Mobail;
79011920000;79011929999;Астарта;Astarta;
79011930000;79011939999;Астарта;Astarta;
79011940000;79011949999;РТ-Мобайл;RT-Mobail;
79011950000;79011959999;РТ-Мобайл;RT-Mobail;
79011960000;79011979999;РТ-Мобайл;RT-Mobail;
79011980000;79011989999;Тульская сотовая радиотелефонная связь;Tulskaya sotovaya radiotelefonnaya svyaz;
79011990000;79011999999;РТ-Мобайл;RT-Mobail;
79012010000;79012019999;Уралвестком;Uralvestkom;
79012020000;79012029999;Межрегиональный ТранзитТелеком;Mezhregionalnyi TranzitTelekom;
79012100000;79012109999;Уралвестком;Uralvestkom;
79012200000;79012209999;Уралвестком;Uralvestkom;
79012300000;79012309999;Уралвестком;Uralvestkom;
79012400000;79012419999;Енисейтелеком;Eniseitelekom;
79012420000;79012439999;Астарта;Astarta;
79012500000;79012519999;АПЕКС;APEKS;
79012520000;79012539999;АПЕКС;APEKS;
79012600000;79012619999;КОМСТАР-Регионы;KOMSTAR-Regiony;
79012620000;79012639999;Астарта;Astarta;
79012650000;79012652046;РТ-Мобайл;RT-Mobail;
79012652047;79012652047;Ростелеком;Rostelekom;
79012652048;79012652298;РТ-Мобайл;RT-Mobail;
79012652299;79012652299;Ростелеком;Rostelekom;
79012652300;79012652352;РТ-Мобайл;RT-Mobail;
79012652353;79012652353;Ростелеком;Rostelekom;
79012652354;79012652695;РТ-Мобайл;RT-Mobail;
79012652696;79012652696;Ростелеком;Rostelekom;
79012652697;79012653022;РТ-Мобайл;RT-Mobail;
79012653023;79012653023;Ростелеком;Rostelekom;
79012653024;79012653030;РТ-Мобайл;RT-Mobail;
79012653031;79012653031;Ростелеком;Rostelekom;
79012653032;79012653045;РТ-Мобайл;RT-Mobail;
79012653046;79012653046;Ростелеком;Rostelekom;
79012653047;79012653086;РТ-Мобайл;RT-Mobail;
79012653087;79012653087;Ростелеком;Rostelekom;
79012653088;79012653330;РТ-Мобайл;RT-Mobail;
79012653331;79012653331;Ростелеком;Rostelekom;
79012653332;79012653342;РТ-Мобайл;RT-Mobail;
79012653343;79012653343;Ростелеком;Rostelekom;
79012653344;79012653345;РТ-Мобайл;RT-Mobail;
79012653346;79012653346;Ростелеком;Rostelekom;
79012653347;79012653404;РТ-Мобайл;RT-Mobail;
79012653405;79012653408;Ростелеком;Rostelekom;
